"row ID";"TruePositives";"FalsePositives";"TrueNegatives";"FalseNegatives";"NUM_ELEMENTOS";"TruePositives_porcentaje";"FalseNegatives_porcentaje"
"1";44;18;79;2;46;0.9565217391304348;0.043478260869565216
"2";39;4;78;22;61;0.639344262295082;0.36065573770491804
"3";33;5;102;3;36;0.9166666666666666;0.08333333333333333
"1";49;9;85;0;49;1;0
"2";46;11;77;9;55;0.8363636363636363;0.16363636363636364
"3";26;2;102;13;39;0.6666666666666666;0.3333333333333333
"1";46;5;89;3;49;0.9387755102040817;0.061224489795918366
"2";49;15;73;6;55;0.8909090909090909;0.10909090909090909
"3";27;1;103;12;39;0.6923076923076923;0.3076923076923077
"1";43;6;87;7;50;0.86;0.14
"2";48;11;79;5;53;0.9056603773584906;0.09433962264150944
"3";28;7;96;12;40;0.7;0.3
"1";46;10;87;0;46;1;0
"2";43;0;85;15;58;0.7413793103448276;0.25862068965517243
"3";39;5;99;0;39;1;0
"1";43;4;93;3;46;0.9347826086956522;0.06521739130434782
"2";47;22;66;8;55;0.8545454545454545;0.14545454545454545
"3";22;5;96;20;42;0.5238095238095238;0.47619047619047616
"1";42;6;88;7;49;0.8571428571428571;0.14285714285714285
"2";46;10;77;10;56;0.8214285714285714;0.17857142857142858
"3";33;6;99;5;38;0.868421052631579;0.13157894736842105
"1";47;9;86;1;48;0.9791666666666666;0.020833333333333332
"2";41;4;85;13;54;0.7592592592592593;0.24074074074074073
"3";36;6;96;5;41;0.8780487804878049;0.12195121951219512
"1";44;3;93;3;47;0.9361702127659575;0.06382978723404255
"2";47;7;81;8;55;0.8545454545454545;0.14545454545454545
"3";36;6;96;5;41;0.8780487804878049;0.12195121951219512
"1";42;7;93;1;43;0.9767441860465116;0.023255813953488372
"2";49;7;75;12;61;0.8032786885245902;0.19672131147540983
"3";33;5;99;6;39;0.8461538461538461;0.15384615384615385
