row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;Calculo
1;24;4;57;4;28;0,857142857;0,142857143;;0,924426235
2;34;4;45;6;40;0,85;0,15;;0,850288168
3;21;2;66;0;21;1;0;;0,898690476
1;26;1;59;3;29;0,896551724;0,103448276;;
2;28;3;54;4;32;0,875;0,125;;
3;28;3;58;0;28;1;0;;
1;29;5;54;1;30;0,966666667;0,033333333;;
2;30;4;47;8;38;0,789473684;0,210526316;;
3;18;3;65;3;21;0,857142857;0,142857143;;
1;23;3;60;3;26;0,884615385;0,115384615;;
2;37;2;44;6;43;0,860465116;0,139534884;;
3;20;4;65;0;20;1;0;;
1;27;4;58;0;27;1;0;;
2;29;2;46;12;41;0,707317073;0,292682927;;
3;19;8;60;2;21;0,904761905;0,095238095;;
1;23;3;62;1;24;0,958333333;0,041666667;;
2;36;4;44;5;41;0,87804878;0,12195122;;
3;20;3;62;4;24;0,833333333;0,166666667;;
1;30;6;53;0;30;1;0;;
2;28;5;50;6;34;0,823529412;0,176470588;;
3;20;0;64;5;25;0,8;0,2;;
1;29;4;55;1;30;0,966666667;0,033333333;;
2;31;4;50;4;35;0,885714286;0,114285714;;
3;19;2;63;5;24;0,791666667;0,208333333;;
1;24;1;60;4;28;0,857142857;0,142857143;;
2;34;6;47;2;36;0,944444444;0,055555556;;
3;22;2;62;3;25;0,88;0,12;;
1;24;4;57;4;28;0,857142857;0,142857143;;
2;32;6;47;4;36;0,888888889;0,111111111;;
3;23;0;64;2;25;0,92;0,08;;
