row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;Calculo;
1;11;2;22;1;12;0,916666667;0,083333333;;0,912212885;0,087787115
2;11;1;23;1;12;0,916666667;0,083333333;;0,936339869;0,063660131
3;10;1;23;2;12;0,833333333;0,166666667;;0,946825397;0,053174603
1;10;2;24;0;10;1;0;;;
2;10;1;23;2;12;0,833333333;0,166666667;;;
3;12;1;21;2;14;0,857142857;0,142857143;;;
1;12;1;20;3;15;0,8;0,2;;;
2;11;3;21;1;12;0,916666667;0,083333333;;;
3;9;0;27;0;9;1;0;;;
1;10;0;24;2;12;0,833333333;0,166666667;;;
2;11;2;23;0;11;1;0;;;
3;13;0;23;0;13;1;0;;;
1;12;1;21;2;14;0,857142857;0,142857143;;;
2;16;2;16;2;18;0,888888889;0,111111111;;;
3;4;1;31;0;4;1;0;;;
1;11;0;24;1;12;0,916666667;0,083333333;;;
2;13;3;18;2;15;0,866666667;0,133333333;;;
3;7;2;25;2;9;0,777777778;0,222222222;;;
1;16;0;19;1;17;0,941176471;0,058823529;;;
2;12;1;23;0;12;1;0;;;
3;7;0;29;0;7;1;0;;;
1;9;0;27;0;9;1;0;;;
2;16;0;19;1;17;0,941176471;0,058823529;;;
3;10;1;25;0;10;1;0;;;
1;12;0;22;2;14;0,857142857;0,142857143;;;
2;14;2;20;0;14;1;0;;;
3;8;0;28;0;8;1;0;;;
1;12;0;24;0;12;1;0;;;
2;11;0;25;0;11;1;0;;;
3;13;0;23;0;13;1;0;;;
