row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;Calculos;
1;11;0;25;0;11;1;0;;1;0
2;15;1;20;0;15;1;0;;0,944321943;0,055678057
3;9;0;26;1;10;0,9;0,1;;0,960879121;0,039120879
1;7;1;28;0;7;1;0;;;
2;16;0;17;3;19;0,842105263;0,157894737;;;
3;10;2;24;0;10;1;0;;;
1;13;0;23;0;13;1;0;;;
2;13;0;22;1;14;0,928571429;0,071428571;;;
3;9;1;26;0;9;1;0;;;
1;7;0;29;0;7;1;0;;;
2;16;1;19;0;16;1;0;;;
3;12;0;23;1;13;0,923076923;0,076923077;;;
1;15;0;21;0;15;1;0;;;
2;14;1;21;0;14;1;0;;;
3;6;0;29;1;7;0,857142857;0,142857143;;;
1;13;1;22;0;13;1;0;;;
2;12;0;23;1;13;0,923076923;0,076923077;;;
3;10;0;26;0;10;1;0;;;
1;8;0;28;0;8;1;0;;;
2;13;0;23;0;13;1;0;;;
3;15;0;21;0;15;1;0;;;
1;12;0;24;0;12;1;0;;;
2;15;0;20;1;16;0,9375;0,0625;;;
3;8;1;27;0;8;1;0;;;
1;9;0;27;0;9;1;0;;;
2;12;1;22;1;13;0,923076923;0,076923077;;;
3;13;1;21;1;14;0,928571429;0,071428571;;;
1;14;0;22;0;14;1;0;;;
2;8;0;27;1;9;0,888888889;0,111111111;;;
3;13;1;22;0;13;1;0;;;
