row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;Calculos;
1;8;0;28;0;8;1;0;;0,977272727;0,022727273
2;13;0;21;2;15;0,866666667;0,133333333;;0,956547619;0,043452381
3;13;2;21;0;13;1;0;;1;0
1;10;0;26;0;10;1;0;;;
2;15;0;21;0;15;1;0;;;
3;11;0;25;0;11;1;0;;;
1;11;0;25;0;11;1;0;;;
2;13;0;22;1;14;0,928571429;0,071428571;;;
3;11;1;24;0;11;1;0;;;
1;17;0;19;0;17;1;0;;;
2;12;0;24;0;12;1;0;;;
3;7;0;29;0;7;1;0;;;
1;10;2;23;1;11;0,909090909;0,090909091;;;
2;12;0;22;2;14;0,857142857;0,142857143;;;
3;11;1;24;0;11;1;0;;;
1;10;0;26;0;10;1;0;;;
2;15;0;21;0;15;1;0;;;
3;11;0;25;0;11;1;0;;;
1;10;0;25;1;11;0,909090909;0,090909091;;;
2;12;1;23;0;12;1;0;;;
3;13;0;23;0;13;1;0;;;
1;10;0;26;0;10;1;0;;;
2;16;0;20;0;16;1;0;;;
3;10;0;26;0;10;1;0;;;
