80%;;;;;;;;;;;;
row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;;;;
1;12;0;21;3;15;0,8;0,2;;;80%;;
2;14;5;17;0;14;1;0;;;Clase;TP;FP
3;5;0;29;2;7;0,714285714;0,285714286;;;1;0,941818182;0,058181818
1;10;2;24;0;10;1;0;;;2;0,887564103;0,112435897
2;11;1;22;2;13;0,846153846;0,153846154;;;3;0,860805861;0,139194139
3;12;0;23;1;13;0,923076923;0,076923077;;;;;
1;12;1;23;0;12;1;0;;;;;
2;13;1;20;2;15;0,866666667;0,133333333;;;;;
3;7;2;25;2;9;0,777777778;0,222222222;;;;;
1;8;2;26;0;8;1;0;;;;;
2;17;0;16;3;20;0,85;0,15;;;;;
3;8;1;27;0;8;1;0;;;;;
1;10;2;23;1;11;0,909090909;0,090909091;;;;;
2;14;2;18;2;16;0,875;0,125;;;;;
3;8;0;27;1;9;0,888888889;0,111111111;;;;;
50%;;;;;;;;;;;;
1;27;0;62;0;27;1;0;;;50%;;
2;34;5;41;9;43;0,790697674;0,209302326;;;Clase;TP;FP
3;14;9;61;5;19;0,736842105;0,263157895;;;1;0,944107143;0,055892857
1;31;2;52;4;35;0,885714286;0,114285714;;;2;0,880935562;0,119064438
2;27;2;54;6;33;0,818181818;0,181818182;;;3;0,849136218;0,150863782
3;21;6;62;0;21;1;0;;;;;
1;29;0;57;3;32;0,90625;0,09375;;;;;
2;33;10;45;1;34;0,970588235;0,029411765;;;;;
3;16;1;65;7;23;0,695652174;0,304347826;;;;;
1;26;3;58;2;28;0,928571429;0,071428571;;;;;
2;33;2;52;2;35;0,942857143;0,057142857;;;;;
3;23;2;61;3;26;0,884615385;0,115384615;;;;;
1;27;3;59;0;27;1;0;;;;;
2;30;1;54;4;34;0,882352941;0,117647059;;;;;
3;26;2;59;2;28;0,928571429;0,071428571;;;;;
30%;;;;;;;;;;;;
1;31;1;81;12;43;0,720930233;0,279069767;;;30%;;
2;43;17;59;6;49;0,87755102;0,12244898;;;Clase;TP;FP
3;27;6;86;6;33;0,818181818;0,181818182;;;1;0,846529355;0,153470645
1;37;7;74;7;44;0,840909091;0,159090909;;;2;0,86779747;0,13220253
2;38;6;71;10;48;0,791666667;0,208333333;;;3;0,858383838;0,141616162
3;32;5;87;1;33;0,96969697;0,03030303;;;;;
1;33;5;85;2;35;0,942857143;0,057142857;;;;;
2;48;8;63;6;54;0,888888889;0,111111111;;;;;
3;26;5;84;10;36;0,722222222;0,277777778;;;;;
1;44;3;76;2;46;0,956521739;0,043478261;;;;;
2;46;4;72;3;49;0,93877551;0,06122449;;;;;
3;28;0;95;2;30;0,933333333;0,066666667;;;;;
1;27;1;89;8;35;0,771428571;0,228571429;;;;;
2;48;7;61;9;57;0,842105263;0,157894737;;;;;
3;28;14;78;5;33;0,848484848;0,151515152;;;;;
