Resultados 80:;;;;;;;
row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje
Iris-setosa;7;0;23;0;7;1;0
Iris-versicolor;11;0;18;1;12;0.9166666666666666;0.08333333333333333
Iris-virginica;11;1;18;0;11;1;0
Iris-setosa;13;0;17;0;13;1;0
Iris-versicolor;10;0;20;0;10;1;0
Iris-virginica;7;0;23;0;7;1;0
Iris-setosa;13;0;17;0;13;1;0
Iris-versicolor;10;0;20;0;10;1;0
Iris-virginica;7;0;23;0;7;1;0
Iris-setosa;8;0;22;0;8;1;0
Iris-versicolor;10;0;19;1;11;0.9090909090909091;0.09090909090909091
Iris-virginica;11;1;18;0;11;1;0
Iris-setosa;7;0;23;0;7;1;0
Iris-versicolor;10;1;18;1;11;0.9090909090909091;0.09090909090909091
Iris-virginica;11;1;17;1;12;0.9166666666666666;0.08333333333333333
Resultados 50:;;;;;;;
Iris-setosa;24;0;51;0;24;1;0
Iris-versicolor;28;2;42;3;31;0.9032258064516129;0.0967741935483871
Iris-virginica;18;3;52;2;20;0.9;0.1
Iris-setosa;25;0;50;0;25;1;0
Iris-versicolor;25;4;44;2;27;0.9259259259259259;0.07407407407407407
Iris-virginica;19;2;50;4;23;0.8260869565217391;0.17391304347826086
Iris-setosa;28;0;47;0;28;1;0
Iris-versicolor;16;3;55;1;17;0.9411764705882353;0.058823529411764705
Iris-virginica;27;1;44;3;30;0.9;0.1
Iris-setosa;24;0;51;0;24;1;0
Iris-versicolor;23;6;46;0;23;1;0
Iris-virginica;22;0;47;6;28;0.7857142857142857;0.21428571428571427
Iris-setosa;27;0;48;0;27;1;0
Iris-versicolor;23;1;49;2;25;0.92;0.08
Iris-virginica;22;2;50;1;23;0.9565217391304348;0.043478260869565216
Resultados 30:;;;;;;;
"Iris-setosa";38;0;82;0;38;1;0
"Iris-versicolor";38;4;76;2;40;0.95;0.05
"Iris-virginica";38;2;76;4;42;0.9047619047619048;0.09523809523809523
"Iris-setosa";40;4;76;0;40;1;0
"Iris-versicolor";28;1;76;15;43;0.6511627906976745;0.3488372093023256
"Iris-virginica";36;11;72;1;37;0.972972972972973;0.02702702702702703
"Iris-setosa";40;0;80;0;40;1;0
"Iris-versicolor";40;10;70;0;40;1;0
"Iris-virginica";30;0;80;10;40;0.75;0.25
"Iris-setosa";43;0;77;0;43;1;0
"Iris-versicolor";33;3;82;2;35;0.9428571428571428;0.05714285714285714
"Iris-virginica";39;2;76;3;42;0.9285714285714286;0.07142857142857142
"Iris-setosa";39;0;81;0;39;1;0
"Iris-versicolor";37;6;76;1;38;0.9736842105263158;0.02631578947368421
"Iris-virginica";37;1;76;6;43;0.8604651162790697;0.13953488372093023
