80%;;;;;;;;;;;;
row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;;;;
1;14;0;21;1;15;0,933333333;0,066666667;;;80%;;
2;13;1;21;1;14;0,928571429;0,071428571;;;Clase;TP;FP
3;7;1;28;0;7;1;0;;;1;0,968484848;0,031515152
1;10;0;26;0;10;1;0;;;2;0,959880952;0,040119048
2;13;1;22;0;13;1;0;;;3;0,984615385;0,015384615
3;12;0;23;1;13;0,923076923;0,076923077;;;;;
1;12;0;24;0;12;1;0;;;;;
2;14;0;21;1;15;0,933333333;0,066666667;;;;;
3;9;1;26;0;9;1;0;;;;;
1;8;0;28;0;8;1;0;;;;;
2;20;0;16;0;20;1;0;;;;;
3;8;0;28;0;8;1;0;;;;;
1;10;1;24;1;11;0,909090909;0,090909091;;;;;
2;15;1;19;1;16;0,9375;0,0625;;;;;
3;9;0;27;0;9;1;0;;;;;
50%;;;;;;;;;;;;
1;27;0;62;0;27;1;0;;;50%;;
2;42;0;46;1;43;0,976744186;0,023255814;;;Clase;TP;FP
3;19;1;69;0;19;1;0;;;1;0,96125;0,03875
1;34;1;53;1;35;0,971428571;0,028571429;;;2;0,953805674;0,046194326
2;30;1;55;3;33;0,909090909;0,090909091;;;3;1;0
3;21;2;66;0;21;1;0;;;;;
1;29;0;57;3;32;0,90625;0,09375;;;;;
2;34;3;52;0;34;1;0;;;;;
3;23;0;66;0;23;1;0;;;;;
1;26;0;61;2;28;0,928571429;0,071428571;;;;;
2;34;2;52;1;35;0,971428571;0,028571429;;;;;
3;26;1;62;0;26;1;0;;;;;
1;27;2;60;0;27;1;0;;;;;
2;31;0;55;3;34;0,911764706;0,088235294;;;;;
3;28;1;60;0;28;1;0;;;;;
30%;;;;;;;;;;;;
1;40;3;79;3;43;0,930232558;0,069767442;;;30%;;
2;45;3;73;4;49;0,918367347;0,081632653;;;Clase;TP;FP
3;33;1;91;0;33;1;0;;;1;0,955662548;0,044337452
1;43;3;78;1;44;0,977272727;0,022727273;;;2;0,946027271;0,053972729
2;45;1;76;3;48;0,9375;0,0625;;;3;0,994444444;0,005555556
3;33;0;92;0;33;1;0;;;;;
1;33;3;87;2;35;0,942857143;0,057142857;;;;;
2;51;3;68;3;54;0,944444444;0,055555556;;;;;
3;35;0;89;1;36;0,972222222;0,027777778;;;;;
1;44;0;79;2;46;0,956521739;0,043478261;;;;;
2;49;2;74;0;49;1;0;;;;;
3;30;0;95;0;30;1;0;;;;;
1;34;3;87;1;35;0,971428571;0,028571429;;;;;
2;53;1;67;4;57;0,929824561;0,070175439;;;;;
3;33;1;91;0;33;1;0;;;;;
