Resultados 80:;;;;;;;
row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje
Iris-setosa;0;0;25;5;5;0;1
Iris-versicolor;15;1;13;1;16;0.9375;0.0625
Iris-virginica;8;1;20;1;9;0.8888888888888888;0.1111111111111111
Iris-setosa;10;0;20;0;10;1;0
Iris-versicolor;11;0;18;1;12;0.9166666666666666;0.08333333333333333
Iris-virginica;8;1;21;0;8;1;0
Iris-setosa;12;0;18;0;12;1;0
Iris-versicolor;11;1;17;1;12;0.9166666666666666;0.08333333333333333
Iris-virginica;5;1;23;1;6;0.8333333333333334;0.16666666666666666
Iris-setosa;13;2;15;0;13;1;0
Iris-versicolor;6;1;20;3;9;0.6666666666666666;0.3333333333333333
Iris-virginica;7;1;21;1;8;0.875;0.125
Iris-setosa;11;0;19;0;11;1;0
Iris-versicolor;8;3;18;1;9;0.8888888888888888;0.1111111111111111
Iris-virginica;7;1;19;3;10;0.7;0.3
Resultados 50:;;;;;;;
Iris-setosa;22;1;51;1;23;0.9565217391304348;0.043478260869565216
Iris-versicolor;24;4;45;2;26;0.9230769230769231;0.07692307692307693
Iris-virginica;23;1;48;3;26;0.8846153846153846;0.11538461538461539
Iris-setosa;28;2;45;0;28;1;0
Iris-versicolor;21;3;47;4;25;0.84;0.16
Iris-virginica;19;2;51;3;22;0.8636363636363636;0.13636363636363635
Iris-setosa;26;0;49;0;26;1;0
Iris-versicolor;23;2;48;2;25;0.92;0.08
Iris-virginica;22;2;49;2;24;0.9166666666666666;0.08333333333333333
Iris-setosa;27;0;47;1;28;0.9642857142857143;0.03571428571428571
Iris-versicolor;24;2;47;2;26;0.9230769230769231;0.07692307692307693
Iris-virginica;20;2;52;1;21;0.9523809523809523;0.047619047619047616
Iris-setosa;25;0;50;0;25;1;0
Iris-versicolor;23;1;48;3;26;0.8846153846153846;0.11538461538461539
Iris-virginica;23;3;48;1;24;0.9583333333333334;0.041666666666666664
Resultados 20:;;;;;;;
"Iris-setosa";38;0;81;1;39;0.9743589743589743;0.02564102564102564
"Iris-versicolor";35;1;77;7;42;0.8333333333333334;0.16666666666666666
"Iris-virginica";39;7;74;0;39;1;0
"Iris-setosa";42;0;78;0;42;1;0
"Iris-versicolor";34;20;66;0;34;1;0
"Iris-virginica";24;0;76;20;44;0.5454545454545454;0.45454545454545453
"Iris-setosa";41;3;76;0;41;1;0
"Iris-versicolor";35;5;75;5;40;0.875;0.125
"Iris-virginica";34;2;79;5;39;0.8717948717948718;0.1282051282051282
"Iris-setosa";39;0;81;0;39;1;0
"Iris-versicolor";27;2;77;14;41;0.6585365853658537;0.34146341463414637
"Iris-virginica";38;14;66;2;40;0.95;0.05
"Iris-setosa";38;9;73;0;38;1;0
"Iris-versicolor";26;4;74;16;42;0.6190476190476191;0.38095238095238093
"Iris-virginica";36;7;73;4;40;0.9;0.1
