80%;;;;;;;;;;;
row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;;;
1;16;2;18;0;16;1;0;;80%;;
2;11;0;23;2;13;0,846153846;0,153846154;;Clase;TP;FP
3;7;0;29;0;7;1;0;;1;0,984615385;0,015384615
1;9;0;27;0;9;1;0;;2;0,923178138;0,076821862
2;17;0;17;2;19;0,894736842;0,105263158;;3;0,969230769;0,030769231
3;8;2;26;0;8;1;0;;;;
1;13;0;23;0;13;1;0;;;;
2;10;2;24;0;10;1;0;;;;
3;11;0;23;2;13;0,846153846;0,153846154;;;;
1;11;0;25;0;11;1;0;;;;
2;18;0;18;0;18;1;0;;;;
3;7;0;29;0;7;1;0;;;;
1;12;1;22;1;13;0,923076923;0,076923077;;;;
2;14;1;19;2;16;0,875;0,125;;;;
3;7;1;28;0;7;1;0;;;;
50%;;;;;;;;;;;
1;28;2;59;0;28;1;0;;50%;;
2;32;1;52;4;36;0,888888889;0,111111111;;Clase;TP;FP
3;23;3;61;2;25;0,92;0,08;;1;0,906983138;0,093016862
1;29;2;56;2;31;0,935483871;0,064516129;;2;0,886383442;0,113616558
2;23;11;51;4;27;0,851851852;0,148148148;;3;0,825573165;0,174426835
3;22;2;56;9;31;0,709677419;0,290322581;;;;
1;29;3;53;4;33;0,878787879;0,121212121;;;;
2;28;11;46;4;32;0,875;0,125;;;;
3;17;1;64;7;24;0,708333333;0,291666667;;;;
1;25;2;55;7;32;0,78125;0,21875;;;;
2;32;8;47;2;34;0,941176471;0,058823529;;;;
3;22;0;66;1;23;0,956521739;0,043478261;;;;
1;31;6;50;2;33;0,939393939;0,060606061;;;;
2;28;4;53;4;32;0,875;0,125;;;;
3;20;0;65;4;24;0,833333333;0,166666667;;;;
30%;;;;;;;;;;;
1;38;5;81;1;39;0,974358974;0,025641026;;30%;;
2;46;10;65;4;50;0,92;0,08;;Clase;TP;FP
3;25;1;88;11;36;0,694444444;0,305555556;;1;0,949157509;0,050842491
1;34;1;84;6;40;0,85;0,15;;2;0,864280474;0,135719526
2;46;8;67;4;50;0,92;0,08;;3;0,871323954;0,128676046
3;33;3;87;2;35;0,942857143;0,057142857;;;;
1;34;4;86;1;35;0,971428571;0,028571429;;;;
2;49;5;63;8;57;0,859649123;0,140350877;;;;
3;28;5;87;5;33;0,848484848;0,151515152;;;;
1;37;4;84;0;37;1;0;;;;
2;45;0;69;11;56;0,803571429;0,196428571;;;;
3;30;9;84;2;32;0,9375;0,0625;;;;
1;38;3;82;2;40;0,95;0,05;;;;
2;45;3;67;10;55;0,818181818;0,181818182;;;;
3;28;8;87;2;30;0,933333333;0,066666667;;;;
