80%;;;;;;;;;;;
row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;;;
1;16;1;19;0;16;1;0;;80%;;
2;12;0;23;1;13;0,923076923;0,076923077;;Clase;TP;FP
3;7;0;29;0;7;1;0;;1;0,966433566;0,033566434
1;9;0;27;0;9;1;0;;2;0,939366847;0,060633153
2;18;0;17;1;19;0,947368421;0,052631579;;3;1;0
3;8;1;27;0;8;1;0;;;;
1;13;0;23;0;13;1;0;;;;
2;10;0;26;0;10;1;0;;;;
3;13;0;23;0;13;1;0;;;;
1;10;1;24;1;11;0,909090909;0,090909091;;;;
2;16;1;17;2;18;0,888888889;0,111111111;;;;
3;7;1;28;0;7;1;0;;;;
1;12;0;23;1;13;0,923076923;0,076923077;;;;
2;15;1;19;1;16;0,9375;0,0625;;;;
3;7;1;28;0;7;1;0;;;;
50%;;;;;;;;;;;
1;27;0;61;1;28;0,964285714;0,035714286;;50%;;
2;34;1;52;2;36;0,944444444;0,055555556;;Clase;TP;FP
3;25;2;62;0;25;1;0;;1;0,956304113;0,043695887
1;31;2;56;0;31;1;0;;2;0,943191721;0,056808279
2;25;0;62;2;27;0,925925926;0,074074074;;3;1;0
3;31;0;58;0;31;1;0;;;;
1;30;1;55;3;33;0,909090909;0,090909091;;;;
2;29;3;54;3;32;0,90625;0,09375;;;;
3;24;2;63;0;24;1;0;;;;
1;31;0;57;1;32;0,96875;0,03125;;;;
2;33;1;54;1;34;0,970588235;0,029411765;;;;
3;23;1;65;0;23;1;0;;;;
1;31;0;56;2;33;0,939393939;0,060606061;;;;
2;31;2;55;1;32;0,96875;0,03125;;;;
3;24;1;64;0;24;1;0;;;;
30%;;;;;;;;;;;
1;39;1;85;0;39;1;0;;30%;;
2;47;3;72;3;50;0,94;0,06;;Clase;TP;FP
3;33;2;87;3;36;0,916666667;0,083333333;;1;0,978880309;0,021119691
1;39;0;85;1;40;0,975;0,025;;2;0,944168148;0,055831852
2;47;1;74;3;50;0,94;0,06;;3;0,983333333;0,016666667
3;35;3;87;0;35;1;0;;;;
1;34;5;85;1;35;0,971428571;0,028571429;;;;
2;51;1;67;6;57;0,894736842;0,105263158;;;;
3;33;1;91;0;33;1;0;;;;
1;36;1;87;1;37;0,972972973;0,027027027;;;;
2;54;1;68;2;56;0,964285714;0,035714286;;;;
3;32;1;92;0;32;1;0;;;;
1;39;0;85;1;40;0,975;0,025;;;;
2;54;1;69;1;55;0,981818182;0,018181818;;;;
3;30;1;94;0;30;1;0;;;;
