Resultados 80:;;;;;;;;;;;
row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;;Cálculos 80;
Iris-setosa;11;0;19;0;11;1;0;;;TP;FN
Iris-versicolor;4;4;20;2;6;0,666666667;0,333333333;;Iris-Setosa;1;0
Iris-virginica;9;2;15;4;13;0,692307692;0,307692308;;Iris-versicolor;0,882539683;0,117460317
Iris-setosa;6;0;24;0;6;1;0;;Iris-virginica;0,822097902;0,177902098
Iris-versicolor;12;3;13;2;14;0,857142857;0,142857143;;;;
Iris-virginica;7;2;18;3;10;0,7;0,3;;;;
Iris-setosa;7;0;23;0;7;1;0;;;Cálculos 50;
Iris-versicolor;12;2;16;0;12;1;0;;;TP;FN
Iris-virginica;9;0;19;2;11;0,818181818;0,181818182;;Iris-Setosa;1;0
Iris-setosa;10;0;20;0;10;1;0;;Iris-versicolor;0,933589744;0,066410256
Iris-versicolor;8;0;21;1;9;0,888888889;0,111111111;;Iris-virginica;0,94705314;0,05294686
Iris-virginica;11;1;18;0;11;1;0;;;;
Iris-setosa;10;0;20;0;10;1;0;;;;
Iris-versicolor;10;1;19;0;10;1;0;;;Cálculos 20;
Iris-virginica;9;0;20;1;10;0,9;0,1;;;TP;FN
Resultados 50:;;;;;;;;;Iris-Setosa;0,995;0,005
Iris-setosa;30;0;45;0;30;1;0;;Iris-versicolor;0,885435417;0,114564583
Iris-versicolor;13;2;58;2;15;0,866666667;0,133333333;;Iris-virginica;0,831671408;0,168328592
Iris-virginica;28;2;43;2;30;0,933333333;0,066666667;;;;
Iris-setosa;24;0;51;0;24;1;0;;;;
Iris-versicolor;22;3;48;2;24;0,916666667;0,083333333;;;;
Iris-virginica;24;2;46;3;27;0,888888889;0,111111111;;;;
Iris-setosa;25;0;50;0;25;1;0;;;;
Iris-versicolor;24;0;51;0;24;1;0;;;;
Iris-virginica;26;0;49;0;26;1;0;;;;
Iris-setosa;22;0;53;0;22;1;0;;;;
Iris-versicolor;30;2;43;0;30;1;0;;;;
Iris-virginica;21;0;52;2;23;0,913043478;0,086956522;;;;
Iris-setosa;25;0;50;0;25;1;0;;;;
Iris-versicolor;23;0;49;3;26;0,884615385;0,115384615;;;;
Iris-virginica;24;3;48;0;24;1;0;;;;
Resultados 20:;;;;;;;;;;;
Iris-setosa;39;0;80;1;40;0,975;0,025;;;;
Iris-versicolor;37;8;72;3;40;0,925;0,075;;;;
Iris-virginica;33;3;77;7;40;0,825;0,175;;;;
Iris-setosa;36;0;84;0;36;1;0;;;;
Iris-versicolor;37;2;74;7;44;0,840909091;0,159090909;;;;
Iris-virginica;38;7;73;2;40;0,95;0,05;;;;
Iris-setosa;39;0;81;0;39;1;0;;;;
Iris-versicolor;42;7;70;1;43;0,976744186;0,023255814;;;;
Iris-virginica;31;1;81;7;38;0,815789474;0,184210526;;;;
Iris-setosa;43;0;77;0;43;1;0;;;;
Iris-versicolor;35;5;75;5;40;0,875;0,125;;;;
Iris-virginica;32;5;78;5;37;0,864864865;0,135135135;;;;
Iris-setosa;41;2;77;0;41;1;0;;;;
Iris-versicolor;34;11;67;8;42;0,80952381;0,19047619;;;;
Iris-virginica;26;6;77;11;37;0,702702703;0,297297297;;;;
