date, weekday, nr visitors, post
27/05/2010,Thu,23,
28/05/2010,Fri,13,
29/05/2010,Sat,0,
30/05/2010,Sun,5,
31/05/2010,Mon,8,
01/06/2010,Tue,11,
02/06/2010,Wed,12,
03/06/2010,Thu,17,
04/06/2010,Fri,7,
05/06/2010,Sat,8,
06/06/2010,Sun,5,
07/06/2010,Mon,8,
08/06/2010,Tue,5,
09/06/2010,Wed,3,
10/06/2010,Thu,2,
11/06/2010,Fri,16,post soccer WC 2006
12/06/2010,Sat,9,
13/06/2010,Sun,5,
14/06/2010,Mon,17,
15/06/2010,Tue,11,
16/06/2010,Wed,21,
17/06/2010,Thu,26,
18/06/2010,Fri,12,
19/06/2010,Sat,2,
20/06/2010,Sun,8,
21/06/2010,Mon,11,
22/06/2010,Tue,13,
23/06/2010,Wed,14,
24/06/2010,Thu,19,
25/06/2010,Fri,30,post "men, women, and car insurances"
26/06/2010,Sat,10,
27/06/2010,Sun,18,
28/06/2010,Mon,21,
29/06/2010,Tue,31,
30/06/2010,Wed,24,
01/07/2010,Thu,16,
02/07/2010,Fri,16,
03/07/2010,Sat,7,
04/07/2010,Sun,8,
05/07/2010,Mon,10,
06/07/2010,Tue,14,
07/07/2010,Wed,22,
08/07/2010,Thu,18,
09/07/2010,Fri,11,
10/07/2010,Sat,13,
11/07/2010,Sun,9,
12/07/2010,Mon,33,post soccer WC 2010
13/07/2010,Tue,10,
14/07/2010,Wed,7,
15/07/2010,Thu,16,
16/07/2010,Fri,6,
17/07/2010,Sat,7,
18/07/2010,Sun,9,
19/07/2010,Mon,24,
20/07/2010,Tue,15,
21/07/2010,Wed,12,
22/07/2010,Thu,8,
23/07/2010,Fri,6,
24/07/2010,Sat,3,
25/07/2010,Sun,5,
26/07/2010,Mon,9,
27/07/2010,Tue,9,

